size,n_queens_omp_1-slots,n_queens_omp_2-slots,n_queens_omp_4-slots,n_queens_omp_6-slots,n_queens_seq
8,0.000281,0.00045439999999999993,0.000784,0.0012602,0.0
9,0.0010728,0.0008728,0.0010994,0.0015782,0.0
10,0.0047729999999999995,0.0026918000000000003,0.0022102000000000003,0.0022318,0.003
11,0.02391,0.013102800000000001,0.007370399999999999,0.0063862,0.0248
12,0.1324564,0.0664966,0.0345798,0.029986999999999996,0.125
13,0.7742844,0.41306319999999996,0.22819240000000002,0.1857112,0.7308
14,4.808827600000001,2.4249896,1.3659868000000002,1.149893,4.5402
