size,10_queens,12_queens,14_queens,16_queens
1 SEQ,0.01,0.2833333333333334,10.950000000000001,540.8000000000001
1 ranks,0.0096285,0.2817203333333333,10.89716,534.0913268333333
2 ranks,0.004985666666666667,0.14184583333333334,5.467365666666667,267.61002966666666
4 ranks,0.003046333333333333,0.07267699999999999,3.038343,135.290983
6 ranks,0.0022689999999999997,0.049652999999999996,2.2288908333333333,99.636079
8 ranks,0.0033938333333333333,0.049424166666666665,1.5935416666666669,69.15413083333333
