Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.18     15.86     0.03                             rprj3 (real.c:606 @ 4059b5)
  0.18     15.89     0.03                             rprj3 (real.c:617 @ 405a95)
  0.18     15.92     0.03                             rprj3 (real.c:614 @ 405aaa)
  0.18     15.95     0.03                             vranlc (randdp.c:130 @ 407ad4)
  0.15     15.97     0.03                             interp (real.c:669 @ 4061a4)
  0.15     16.00     0.03                             interp (real.c:674 @ 4062cd)
  0.15     16.02     0.03                             interp (real.c:677 @ 4062e3)
  0.15     16.05     0.03                             interp (real.c:673 @ 4062e9)
  0.15     16.07     0.03                             resid (real.c:530 @ 40432a)
  0.15     16.10     0.03                             resid (real.c:529 @ 4047be)
  0.15     16.12     0.03                             rprj3 (real.c:617 @ 405a50)
  0.12     16.14     0.02                             interp (real.c:677 @ 4062d8)
  0.12     16.16     0.02                             interp (real.c:681 @ 40637f)
  0.12     16.18     0.02                             interp (real.c:687 @ 406548)
  0.12     16.20     0.02                             rprj3 (real.c:610 @ 4059d7)
  0.12     16.22     0.02                             rprj3 (real.c:620 @ 405a9b)
  0.12     16.24     0.02                             rprj3 (real.c:612 @ 405acb)
  0.12     16.26     0.02                             vranlc (randdp.c:122 @ 407aba)
  0.09     16.28     0.02                             interp (real.c:677 @ 4062ec)
  0.09     16.29     0.02                             resid (real.c:530 @ 404763)
  0.09     16.31     0.02                             rprj3 (real.c:604 @ 405980)
  0.09     16.32     0.02                             rprj3 (real.c:619 @ 405a67)
  0.09     16.34     0.02                             rprj3 (real.c:618 @ 405a71)
  0.09     16.35     0.02                             rprj3 (real.c:614 @ 405ab5)
  0.09     16.37     0.02                             rprj3 (real.c:610 @ 405b01)
  0.09     16.38     0.02                             zran3 (real.c:977 @ 402da8)
  0.06     16.39     0.01                             comm3 (real.c:870 @ 402781)
  0.06     16.40     0.01                             comm3 (real.c:884 @ 40284b)
  0.06     16.41     0.01                             interp (real.c:683 @ 406334)
  0.06     16.42     0.01                             interp (real.c:680 @ 406356)
  0.06     16.43     0.01                             interp (real.c:683 @ 406375)
  0.06     16.44     0.01                             interp (real.c:689 @ 4064fd)
  0.06     16.45     0.01                             interp (real.c:686 @ 40651f)
  0.06     16.46     0.01                             interp (real.c:686 @ 40652d)
  0.06     16.47     0.01                             interp (real.c:693 @ 4066f5)
  0.06     16.48     0.01                             interp (real.c:693 @ 406728)
  0.06     16.49     0.01                             interp (real.c:695 @ 40672c)
  0.06     16.50     0.01                             psinv (real.c:463 @ 404de9)
  0.06     16.51     0.01                             psinv (real.c:466 @ 404ee5)
  0.06     16.52     0.01                             psinv (real.c:467 @ 40512d)
  0.06     16.53     0.01                             resid (real.c:528 @ 4042b8)
  0.06     16.54     0.01                             resid (real.c:537 @ 4042fa)
  0.06     16.55     0.01                             resid (real.c:538 @ 404345)
  0.06     16.56     0.01                             resid (real.c:529 @ 40440e)
  0.06     16.57     0.01                             resid (real.c:521 @ 40444f)
  0.06     16.58     0.01                             resid (real.c:530 @ 4047c5)
  0.06     16.59     0.01                             resid (real.c:537 @ 4047d6)
  0.06     16.61     0.01                             resid (real.c:537 @ 4047e1)
  0.06     16.62     0.01                             rprj3 (real.c:618 @ 405ac3)
  0.06     16.63     0.01                             rprj3 (real.c:612 @ 405add)
  0.06     16.64     0.01                             rprj3 (real.c:599 @ 405b0a)
  0.06     16.65     0.01                             vranlc (randdp.c:134 @ 407aec)
  0.06     16.66     0.01                             zran3 (real.c:969 @ 402dba)
  0.03     16.66     0.01                             comm3 (real.c:868 @ 40277a)
  0.03     16.67     0.01                             comm3 (real.c:869 @ 40277d)
  0.03     16.67     0.01                             comm3 (real.c:875 @ 402791)
  0.03     16.68     0.01                             comm3 (real.c:882 @ 402820)
  0.03     16.68     0.01                             interp (real.c:668 @ 406198)
  0.03     16.69     0.01                             interp (real.c:669 @ 4061c8)
  0.03     16.69     0.01                             interp (real.c:676 @ 4062f5)
  0.03     16.70     0.01                             randlc (randdp.c:48 @ 4079e2)
  0.03     16.70     0.01                             randlc (randdp.c:49 @ 4079ea)
  0.03     16.71     0.01                             resid (real.c:537 @ 40475a)
  0.03     16.71     0.01                             resid (real.c:538 @ 4047a4)
  0.03     16.72     0.01                             resid (real.c:537 @ 4047af)
  0.03     16.72     0.01                             resid (real.c:538 @ 4047ba)
  0.03     16.73     0.01                             rprj3 (real.c:605 @ 405972)
  0.03     16.73     0.01                             rprj3 (real.c:602 @ 4059d5)
  0.03     16.74     0.01                             rprj3 (real.c:619 @ 405a84)
  0.03     16.74     0.01                             rprj3 (real.c:615 @ 405aaf)
  0.03     16.75     0.01                             zran3 (real.c:969 @ 402d90)
  0.00     16.75     0.00   131642     0.00     0.00  randlc (randdp.c:5 @ 4079c0)
  0.00     16.75     0.00   131072     0.00     0.00  vranlc (randdp.c:72 @ 407a70)
  0.00     16.75     0.00      493     0.00     0.00  norm2u3 (real.c:808 @ 4024f0)
  0.00     16.75     0.00      168     0.00     0.00  psinv (real.c:449 @ 404a00)
  0.00     16.75     0.00      147     0.00     0.00  interp (real.c:651 @ 405df0)
  0.00     16.75     0.00      147     0.00     0.00  resid (real.c:511 @ 403c80)
  0.00     16.75     0.00      147     0.00     0.00  rprj3 (real.c:570 @ 405690)
  0.00     16.75     0.00        4     0.00     0.00  wtime_ (wtime.c:8 @ 401750)

 %         the percentage of the total running time of the
time       program used by this function.

cumulative a running sum of the number of seconds accounted
 seconds   for by this function and those listed above it.

 self      the number of seconds accounted for by this
seconds    function alone.  This is the major sort for this
           listing.

calls      the number of times this function was invoked, if
           this function is profiled, else blank.

 self      the average number of milliseconds spent in this
ms/call    function per call, if this function is profiled,
	   else blank.

 total     the average number of milliseconds spent in this
ms/call    function and its descendents per call, if this
	   function is profiled, else blank.

