room_size,cubes_1-slots,cubes_16-slots,cubes_2-slots,cubes_32-slots,cubes_4-slots,cubes_64-slots,cubes_8-slots,cubes_blocking_1-slots,cubes_blocking_16-slots,cubes_blocking_2-slots,cubes_blocking_32-slots,cubes_blocking_4-slots,cubes_blocking_64-slots,cubes_blocking_8-slots,poles_1-slots,poles_16-slots,poles_2-slots,poles_32-slots,poles_4-slots,poles_64-slots,poles_8-slots,poles_blocking_1-slots,poles_blocking_16-slots,poles_blocking_2-slots,poles_blocking_32-slots,poles_blocking_4-slots,poles_blocking_64-slots,poles_blocking_8-slots,seq_3D,slabs_1-slots,slabs_16-slots,slabs_2-slots,slabs_32-slots,slabs_4-slots,slabs_64-slots,slabs_8-slots,slabs_blocking_1-slots,slabs_blocking_16-slots,slabs_blocking_2-slots,slabs_blocking_32-slots,slabs_blocking_4-slots,slabs_blocking_64-slots,slabs_blocking_8-slots
64,2.071018,0.7117856666666666,1.135977,0.7581846666666667,0.7243496666666666,0.9169516666666667,0.6129416666666666,2.1069226666666663,0.6515996666666667,1.1919753333333334,0.9609846666666666,0.7277003333333333,0.8318633333333333,0.635533,2.0761806666666667,0.6351223333333333,1.1614433333333334,0.6639750000000001,0.7196093333333334,0.9983236666666667,0.6891763333333333,2.1278173333333332,0.621573,1.1978013333333333,0.9647856666666667,0.724471,1.3744545000000001,0.5496383333333333,1.0,1.208374,0.7713936666666665,0.7255396666666667,1.5205293333333334,0.4855446666666667,2.761164666666667,0.464498,1.1964833333333333,0.8398866666666667,0.7192913333333334,1.4676046666666667,0.490079,2.7226236666666668,0.44067166666666663
128,30.728859666666665,2.568784,15.517078,1.7251273333333332,8.128244666666665,1.4855493333333334,4.503644,30.875698333333332,2.6857123333333335,15.842369666666665,1.853671,8.128318,1.3512493333333333,4.549525666666667,30.683713333333333,2.545432,15.479096666666669,1.8546646666666666,8.088390333333335,1.312454,4.343604666666667,30.836814666666665,2.637896666666667,15.931334333333332,1.771351,8.143031333333333,1.3755676666666667,4.393603333333334,16.14,16.445267333333334,2.116833,8.42971,1.9169673333333332,4.409372666666667,3.077087666666667,2.4622763333333335,16.459724,1.8261013333333331,8.396303000000001,2.2184006666666667,4.480193666666666,3.1785566666666667,2.611617666666667
256,486.7873666666666,34.7861595,244.35602533333335,18.491718333333335,125.831908,9.869564333333335,68.15295766666667,488.63170233333335,35.466996,248.73004400000002,18.211826333333335,126.838477,9.805467666666667,68.94496733333334,481.19294399999995,35.377721,243.68471266666666,19.960579333333335,126.764476,10.203543333333334,67.57108899999999,488.7397526666667,34.38878833333334,248.59808766666666,18.172336666666666,126.89415000000001,10.231764333333333,67.132867,258.5333333333333,258.80431233333337,18.228172666666666,131.24834066666668,10.846143333333336,66.40310266666665,8.559044333333333,33.886378666666666,257.9937763333333,18.533479,130.11570333333336,11.202838999999999,66.57517833333333,8.460724999999998,34.687143
512,,545.6558396666668,,280.915514,,152.29527499999998,1061.2677173333332,,540.9464216666667,,275.105911,,142.86906566666667,1065.3501366666667,,539.1574430000001,,287.27741066666664,,159.12922566666666,1043.8043476666667,,523.6874336666666,,272.28510133333333,,148.47689699999998,1039.5784113333334,4120.39,,287.618332,,151.80342133333332,,85.877614,557.045105,,289.80199366666665,,155.04317333333333,,88.05102633333333,560.1158956666667
