room_size,mpi_2-slots_1perhost,mpi_4-slots_1perhost,mpi_16-slots_fillup,mpi_2-slots_fillup,mpi_4-slots_fillup,mpi_8-slots_fillup,seq
16,0.495605,0.906685,1.08411,0.45541666666666664,0.36409033333333335,0.5637673333333333,0.06666666666666667
32,3.37964,2.5167,3.82864,3.1163266666666662,2.1444699999999997,2.2555866666666664,2.04
64,84.7527,46.8655,20.1258,83.68473333333334,44.05073333333333,26.98453333333333,32.93
