  Loading openmpi/4.0.1 for compiler gnu-4.8.5
# OSU MPI Latency Test v5.6.2
# Size          Latency (us)
0                       1.37
1                       5.20
2                       4.41
4                       3.33
8                       3.86
16                      3.50
32                      3.59
64                      1.99
128                     3.60
256                     2.01
512                     2.90
1024                    4.43
2048                    5.23
4096                   33.44
8192                   58.05
16384                  53.71
32768                  78.64
65536                  71.08
131072                312.43
262144                523.87
524288               1477.16
1048576              3015.73
2097152              9100.78
4194304             10342.97
